Division,Line,Station Name,Station Latitude,Station Longitude,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Entrance Type,Entry,Exit Only,Vending,Staffing,Staff Hours,ADA,ADA Notes,Free Crossover,North South Street,East West Street,Corner,Entrance Latitude,Entrance Longitude,Station Location,Entrance Location
IRT,Broadway-7th Ave,215th St,40.869444,-73.915279,1,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,10th Ave,215th St,SW,40.869412,-73.915455,"(40.869444, -73.915279)","(40.869412, -73.915455)"
IRT,Broadway-7th Ave,215th St,40.869444,-73.915279,1,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,10th Ave,215th St,NW,40.869793,-73.91517,"(40.869444, -73.915279)","(40.869793, -73.915170)"
IRT,Broadway-7th Ave,215th St,40.869444,-73.915279,1,,,,,,,,,,,Stair,YES,,NO,NONE,,FALSE,,FALSE,10th Ave,215th St,SE,40.869315,-73.915216,"(40.869444, -73.915279)","(40.869315, -73.915216)"
IRT,Broadway-7th Ave,215th St,40.869444,-73.915279,1,,,,,,,,,,,Stair,NO,Yes,NO,NONE,,FALSE,,FALSE,10th Ave,215th St,NE,40.869729,-73.914954,"(40.869444, -73.915279)","(40.869729, -73.914954)"
IND,8 Avenue,Inwood - 207th St,40.868072,-73.919899,A,,,,,,,,,,,Elevator,YES,,YES,FULL,,TRUE,,TRUE,Broadway,207th St,NW,40.867892,-73.921234,"(40.868072, -73.919899)","(40.867892, -73.921234)"
IND,8 Avenue,Dyckman St-200th St,40.865491,-73.927271,A,,,,,,,,,,,Easement,YES,,YES,FULL,,FALSE,,TRUE,Broadway,Dyckman St,NW,40.865758,-73.927266,"(40.865491, -73.927271)","(40.865758, -73.927266)"
IND,8 Avenue,Dyckman St-200th St,40.865491,-73.927271,A,,,,,,,,,,,Easement,YES,,YES,FULL,,FALSE,,TRUE,Broadway,Dyckman St,NW,40.865744,-73.927172,"(40.865491, -73.927271)","(40.865744, -73.927172)"
IRT,Broadway-7th Ave,207th St,40.864614,-73.918819,1,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,10th Ave,207th St,NW,40.864745,-73.918864,"(40.864614, -73.918819)","(40.864745, -73.918864)"
IRT,Broadway-7th Ave,207th St,40.864614,-73.918819,1,,,,,,,,,,,Stair,NO,,NO,NONE,,FALSE,,FALSE,10th Ave,207th St,NE,40.864599,-73.918681,"(40.864614, -73.918819)","(40.864599, -73.918681)"
IRT,Broadway-7th Ave,Dyckman St,40.860531,-73.925536,1,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Hillside Ave,Nagle Ave,SW,40.861183,-73.92511,"(40.860531, -73.925536)","(40.861183, -73.925110)"
IRT,Broadway-7th Ave,Dyckman St,40.860531,-73.925536,1,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Hillside Ave,Nagle Ave,SW,40.861187,-73.925078,"(40.860531, -73.925536)","(40.861187, -73.925078)"
IND,8 Avenue,190th St,40.859022,-73.93418,A,,,,,,,,,,,Door,YES,,YES,FULL,,FALSE,,TRUE,Fort Washington Ave,192nd St,NW,40.858899,-73.932702,"(40.859022, -73.93418)","(40.858899, -73.932702)"
IND,8 Avenue,190th St,40.859022,-73.93418,A,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Fort Washington Ave,Margaret Corbin Dr,SE,40.858886,-73.934226,"(40.859022, -73.93418)","(40.858886, -73.934226)"
IRT,Broadway-7th Ave,191st St,40.855225,-73.929412,1,,,,,,,,,,,Door,YES,,YES,FULL,,FALSE,,TRUE,Saint Nicholas Ave,191st St,SW,40.855374,-73.929536,"(40.855225, -73.929412)","(40.855374, -73.929536)"
IRT,Broadway-7th Ave,191st St,40.855225,-73.929412,1,,,,,,,,,,,Ramp,YES,,YES,FULL,,FALSE,,TRUE,Broadway,190th St,NE,40.856413,-73.932605,"(40.855225, -73.929412)","(40.856413, -73.932605)"
IND,8 Avenue,181st St,40.851695,-73.937969,A,,,,,,,,,,,Door,YES,,YES,FULL,,FALSE,,TRUE,Fort Washington Ave,185th St,SE,40.852759,-73.936636,"(40.851695, -73.937969)","(40.852759, -73.936636)"
IND,8 Avenue,181st St,40.851695,-73.937969,A,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Fort Washington Ave,181st St,SE,40.850752,-73.93813,"(40.851695, -73.937969)","(40.850752, -73.938130)"
IND,8 Avenue,181st St,40.851695,-73.937969,A,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Fort Washington Ave,181st St,SW,40.850778,-73.938472,"(40.851695, -73.937969)","(40.850778, -73.938472)"
IND,8 Avenue,181st St,40.851695,-73.937969,A,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Fort Washington Ave,181st St,SE,40.850717,-73.938214,"(40.851695, -73.937969)","(40.850717, -73.938214)"
IND,8 Avenue,181st St,40.851695,-73.937969,A,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Fort Washington Ave,181st St,SW,40.85087,-73.938537,"(40.851695, -73.937969)","(40.850870, -73.938537)"
IRT,Broadway-7th Ave,181st St,40.849505,-73.933596,1,,,,,,,,,,,Easement,YES,,YES,FULL,,FALSE,,TRUE,Saint Nicholas Ave,181st St,NE,40.849435,-73.933428,"(40.849505, -73.933596)","(40.849435, -73.933428)"
IRT,Broadway-7th Ave,181st St,40.849505,-73.933596,1,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Saint Nicholas Ave,181st St,SE,40.849098,-73.933747,"(40.849505, -73.933596)","(40.849098, -73.933747)"
IND,8 Avenue,175th St,40.847391,-73.939704,A,,,,,,,,,,,Elevator,YES,,YES,FULL,,TRUE,,TRUE,Fort Washington Ave,177th St,NE,40.847946,-73.939375,"(40.847391, -73.939704)","(40.847946, -73.939375)"
IND,8 Avenue,175th St,40.847391,-73.939704,A,,,,,,,,,,,Stair,YES,,YES,FULL,,TRUE,,TRUE,Fort Washington Ave,177th St,SW,40.847809,-73.939807,"(40.847391, -73.939704)","(40.847809, -73.939807)"
IND,8 Avenue,175th St,40.847391,-73.939704,A,,,,,,,,,,,Stair,YES,,YES,FULL,,TRUE,,TRUE,Fort Washington Ave,177th St,NW,40.847944,-73.939679,"(40.847391, -73.939704)","(40.847944, -73.939679)"
IND,8 Avenue,175th St,40.847391,-73.939704,A,,,,,,,,,,,Stair,YES,,YES,FULL,,TRUE,,TRUE,Fort Washington Ave,177th St,NE,40.847859,-73.939303,"(40.847391, -73.939704)","(40.847859, -73.939303)"
IND,8 Avenue,175th St,40.847391,-73.939704,A,,,,,,,,,,,Stair,YES,,YES,FULL,,TRUE,,TRUE,Fort Washington Ave,177th St,NW,40.847992,-73.939564,"(40.847391, -73.939704)","(40.847992, -73.939564)"
IND,8 Avenue,175th St,40.847391,-73.939704,A,,,,,,,,,,,Stair,YES,,YES,NONE,,TRUE,,TRUE,Fort Washington Ave,175th St,SW,40.846352,-73.940287,"(40.847391, -73.939704)","(40.846352, -73.940287)"
IND,8 Avenue,175th St,40.847391,-73.939704,A,,,,,,,,,,,Stair,YES,,YES,NONE,,TRUE,,TRUE,Fort Washington Ave,175th St,SE,40.846407,-73.939861,"(40.847391, -73.939704)","(40.846407, -73.939861)"
IND,8 Avenue,168th St - Washington Heights,40.840719,-73.939561,A,C,,,,,,,,,,Stair,YES,,YES,FULL,,TRUE,,TRUE,Saint Nicholas Ave,168th St,SE,40.840741,-73.939252,"(40.840719, -73.939561)","(40.840741, -73.939252)"
IND,8 Avenue,168th St - Washington Heights,40.840719,-73.939561,A,C,,,,,,,,,,Stair,YES,,YES,NONE,,TRUE,,TRUE,Saint Nicholas Ave,169th St,NW,40.84186,-73.939569,"(40.840719, -73.939561)","(40.841860, -73.939569)"
