,longitude,latitude,Type1,Type2,Type3,Value,Icon,Remark,Zipcode
1,-74.01794,40.70546,Crime,FELONY,GRAND LARCENY,1,FELONY,GRAND LARCENY: X1<br/>,10280
2,-74.01779021,40.70652751,Crime,FELONY,"THEFT-FRAUD, GRAND LARCENY",2,FELONY,GRAND LARCENY: X1<br/>THEFT-FRAUD: X1<br/>,10280
3,-74.01755622,40.70822107,Crime,FELONY,GRAND LARCENY,1,FELONY,GRAND LARCENY: X1<br/>,10280
4,-74.0175,40.70924,Crime,FELONY,"GRAND LARCENY, THEFT-FRAUD",2,FELONY,GRAND LARCENY: X1<br/>THEFT-FRAUD: X1<br/>,10280
5,-74.01736177,40.70946996,Crime,FELONY,GRAND LARCENY,1,FELONY,GRAND LARCENY: X1<br/>,10280
6,-74.01735,40.70716,Crime,FELONY,THEFT-FRAUD,1,FELONY,THEFT-FRAUD: X1<br/>,10280
7,-74.0172,40.70487,Crime,FELONY,"GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, THEFT-FRAUD",4,FELONY,GRAND LARCENY: X3<br/>THEFT-FRAUD: X1<br/>,10280
8,-74.01700849,40.71024404,Crime,FELONY,"GRAND LARCENY, GRAND LARCENY OF MOTOR VEHICLE",2,FELONY,GRAND LARCENY: X1<br/>GRAND LARCENY OF MOTOR VEHICLE: X1<br/>,10280
9,-74.01687441,40.70780671,Crime,FELONY,"ROBBERY, GRAND LARCENY",2,FELONY,GRAND LARCENY: X1<br/>ROBBERY: X1<br/>,10280
10,-74.01657551,40.70971436,Crime,FELONY,"GRAND LARCENY, GRAND LARCENY OF MOTOR VEHICLE, THEFT-FRAUD",3,FELONY,GRAND LARCENY: X1<br/>GRAND LARCENY OF MOTOR VEHICLE: X1<br/>THEFT-FRAUD: X1<br/>,10280
11,-74.016514,40.70893761,Crime,FELONY,"GRAND LARCENY, GRAND LARCENY, GRAND LARCENY OF MOTOR VEHICLE, MISCELLANEOUS PENAL LAW, THEFT-FRAUD",5,FELONY,GRAND LARCENY: X2<br/>GRAND LARCENY OF MOTOR VEHICLE: X1<br/>MISCELLANEOUS PENAL LAW: X1<br/>THEFT-FRAUD: X1<br/>,10280
12,-74.0164901,40.71439145,Crime,FELONY,"GRAND LARCENY, GRAND LARCENY, CRIMINAL MISCHIEF & RELATED OF, CRIMINAL MISCHIEF & RELATED OF, CRIMINAL MISCHIEF & RELATED OF, CRIMINAL MISCHIEF & RELATED OF, CRIMINAL MISCHIEF & RELATED OF, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY",10,FELONY,CRIMINAL MISCHIEF & RELATED OF: X5<br/>GRAND LARCENY: X5<br/>,10280
