Area,Address
1st Precinct,16 Ericsson Place
5th Precinct,19 Elizabeth Street
6th Precinct,233 West 10 Street
7th Precinct,19 1/2 Pitt Street
9th Precinct,321 East 5 Street
10th Precinct,230 West 20th Street
13th Precinct,230 East 21st Street
Midtown South Precinct,357 West 35th Street
17th Precinct,167 East 51st Street
Midtown North Precinct,306 West 54th Street
19th Precinct,153 East 67th Street
20th Precinct,120 West 82nd Street
Central Park Precinct,86th St & Transverse Road
23rd Precinct,162 East 102nd Street
24th Precinct,151 West 100th Street
25th Precinct,120 East 119th Street
26th Precinct,520 West 126th Street
28th Precinct,2271-89 8th Avenue
30th Precinct,451 West 151st Street
32nd Precinct,250 West 135th Street
33rd Precinct,2207 Amsterdam Avenue
34th Precinct,4295 Broadway
